"id","Policy_start_date","Age","Annual_premium","Vehicle_year","Claim_amount","Vehicle_risk_type","Area"
"82",2007-03-02,66,241.73,1998,0,2,0
"83",2007-03-02,66,244.3,1998,0,2,0
"84",2007-03-02,66,232.15,1998,371.4,2,0
"85",2017-10-04,59,374.24,2006,57.5,2,0
"86",2017-10-04,59,376.11,2006,0,2,0
"87",2018-06-19,55,689.93,2018,0,2,0
"88",2018-10-05,55,376.67,2018,0,2,0
"89",2015-03-12,51,292.99,2006,0,2,0
"90",2016-06-01,51,316.53,2004,0,2,0
"91",2016-06-01,51,321.26,2004,0,2,0
"92",2016-06-01,51,322.87,2004,0,2,0
"93",2007-05-11,39,152.97,1995,110.19,2,0
"94",2007-05-11,39,158.3,1995,68.79,2,0
"95",2007-05-11,39,165.79,1995,0,2,0
"96",2018-02-06,50,264.38,1995,0,2,0
"97",2015-04-30,44,462.39,2013,0,2,1
"98",2015-04-30,44,471.62,2013,2442.39,2,1
"99",2015-04-30,44,775.81,2013,0,2,1
"100",2014-10-20,74,257.17,2005,0,2,0
"101",2015-07-01,72,308.15,2007,0,2,1
"102",2015-07-01,72,312.78,2007,0,2,1
"103",2015-07-01,72,312.78,2007,0,2,1
"104",2014-08-11,71,286.23,2004,0,2,0
"105",2017-06-19,72,339.73,2004,0,2,0
"106",2017-06-19,72,343.15,2004,0,2,0
"107",2018-06-19,69,411.56,1999,545.84,1,0
"108",2015-11-03,63,292.17,1999,0,2,1
"109",2015-11-03,63,302.39,1999,0,2,1
"110",2015-11-03,63,302.39,1999,0,2,1
"111",2015-11-03,63,303.91,1999,0,2,1
"112",2015-08-25,60,264.88,2002,0,2,0
"113",2018-09-10,61,233.17,2003,0,2,0
"114",2015-01-13,59,296.72,2004,138.9,2,0
"115",2015-01-13,59,310.07,2004,0,2,0
"116",2013-03-15,53,302.34,2000,0,2,0
"117",2013-03-15,53,311.42,2000,0,2,0
"118",2016-01-25,56,262.16,2000,0,2,0
"119",2016-01-25,56,273.95,2000,0,2,0
"120",2016-01-25,56,291.75,2000,0,2,0
"121",2018-01-22,58,376.64,2000,0,2,0
"122",2018-08-06,59,175.27,2000,0,2,0
"123",2018-08-27,59,236,2000,0,2,0
"124",2016-04-05,57,208.46,2005,982.77,1,0
"125",2016-04-05,57,497.12,2005,0,1,0
"126",2018-05-22,58,252.71,1994,88.14,2,1
"127",2018-10-01,58,275.12,1994,0,2,1
"128",2013-03-01,53,269.15,2000,0,2,0
"129",2016-02-01,56,240.72,2001,188.45,2,1
"130",2016-02-01,56,250.35,2001,0,2,1
"131",2016-02-01,56,251.6,2001,0,2,1
"132",2016-02-24,56,266.42,2001,52.09,2,1
"133",2016-07-29,53,362.76,2008,0,2,0
"134",2016-07-29,53,484.31,2008,0,2,0
"135",2016-07-29,53,479.47,2008,0,2,0
"136",2018-04-03,57,409.24,1996,0,2,0
"137",2018-11-16,58,441.7,1996,0,1,0
"138",2014-06-18,72,263,2007,0,2,1
"139",2014-06-18,72,270.89,2007,0,2,1
"140",2014-06-18,72,270.89,2007,0,2,1
"141",2015-04-07,35,283.56,2001,1574.93,2,1
"142",2015-04-07,35,292.09,2001,0,2,1
"143",2011-07-18,60,322.52,2004,257.36,2,0
"144",2011-07-18,60,325.75,2004,0,2,0
"145",2011-07-18,60,320.86,2004,0,2,0
"146",2017-06-01,46,351.36,2009,0,2,0
"147",2017-06-01,46,353.13,2009,0,2,0
"148",2015-07-21,43,314.89,1999,3610.33,2,0
"149",2009-12-02,69,367.66,2007,0,1,0
"150",2016-07-08,37,322.18,2006,1438.03,2,0
"151",2016-07-08,37,331.84,2006,565.8,2,0
"152",2016-07-08,37,333.49,2006,0,2,0
"153",2018-05-01,74,240.53,2000,0,2,0
"154",2018-11-01,66,468.92,2014,0,2,0
"155",2015-05-07,62,358.7,2008,0,2,1
"156",2002-05-10,47,271.74,2002,0,2,0
"157",2002-05-10,47,279.89,2002,0,2,0
"158",2002-05-10,47,277.09,2002,0,2,0
"159",2017-07-21,61,257.37,1999,0,2,1
"160",2017-07-21,61,259.94,1999,0,2,1
"161",2014-01-21,59,222.42,2006,0,2,0
"162",2018-02-01,72,234.12,1993,0,2,0
"163",2018-02-24,72,235.77,1993,0,2,0
"164",2012-11-30,61,314.65,1999,527.54,1,0
"165",2012-11-30,61,307.74,1999,66.06,1,0
"166",2012-11-30,61,333.9,1999,102.16,1,0
"167",2013-05-10,62,537.45,1999,52.09,2,0
"168",2013-10-07,54,299.32,2005,0,1,0
"169",2013-10-07,54,299.32,2005,0,1,0
"170",2013-10-07,54,442.63,2005,0,1,0
"171",2018-04-18,71,479.03,2007,471.66,2,0
"172",2016-05-12,69,300.9,1999,56.39,1,1
"173",2016-05-12,69,306.91,1999,0,1,1
"174",2016-05-12,69,308.45,1999,0,1,1
"175",2015-09-29,58,319.88,2005,0,1,0
"176",2015-09-29,58,319.88,2005,0,1,0
"177",2015-09-29,58,321.48,2005,0,1,0
"178",2012-03-19,46,268.41,2008,882,2,0
"179",2012-03-19,46,288.54,2008,108.04,2,0
"180",2012-03-19,46,298.64,2008,373.69,2,0
"181",2015-09-01,44,267.53,2001,67.11,2,0
"182",2015-09-01,44,287.59,2001,882,2,0
"183",2015-09-01,44,346.54,2001,0,2,0
"184",2018-02-13,60,291.51,2004,0,2,0
"185",2013-11-13,55,149.45,1997,67.25,2,1
"186",2012-05-31,36,613.77,2012,0,2,1
"187",2012-05-31,36,632.19,2012,0,2,1
"188",2012-05-31,36,635.35,2012,0,2,1
"189",2015-11-01,68,765.44,2011,2697.36,2,0
"190",2015-11-01,68,1018.03,2011,1060.23,2,0
"191",2016-11-14,61,222.44,1994,0,2,0
"192",2014-03-28,47,293.46,2007,0,1,1
"193",2014-03-28,47,297.87,2007,0,1,1
"194",2014-03-28,47,300.87,2007,0,1,1
"195",2018-06-21,51,471.31,2007,0,2,1
"196",2015-10-28,69,239.9,2013,0,2,0
"197",2017-07-01,68,289.87,2005,305.46,2,0
"198",2017-07-01,68,297.12,2005,0,2,0
"199",2017-07-03,69,304.18,2002,1190.78,2,0
"200",2017-07-03,69,410.64,2002,0,2,0
"201",2008-09-18,59,219.22,1986,0,2,0
"202",2008-09-18,59,214.42,1986,0,2,0
"203",2008-09-18,59,221.92,1986,0,2,0
"204",2005-11-24,54,219.87,1989,0,2,0
"205",2005-11-24,54,226.46,1989,0,2,0
"206",2013-04-01,70,398.7,2006,188.12,2,1
"207",2013-04-01,70,408.66,2006,0,2,1
"208",2017-06-30,74,1419.94,2006,58.8,2,0
"209",2017-06-30,74,1403.9,2006,96.3,2,0
"210",2017-10-31,69,280.21,2005,882,2,0
"211",2017-10-31,69,329.25,2005,0,2,0
"212",2008-06-06,52,314.32,2008,0,2,0
"213",2015-01-22,50,376.8,2007,0,2,0
"214",2017-03-01,53,246.14,1996,0,2,0
"215",2018-06-18,54,231.96,1996,0,2,0
"216",2016-07-05,51,241.1,2003,60.62,2,0
"217",2016-07-05,51,247.13,2003,0,2,0
"218",2016-07-05,51,238.8,2003,0,2,0
"219",2018-02-15,52,336.77,2003,0,2,0
"220",2017-11-22,54,360.91,1995,0,1,0
"221",2017-11-22,54,364.52,1995,0,1,0
"222",2018-10-19,44,291.27,2001,0,2,0
"223",2016-06-08,45,679.79,2003,0,1,1
"224",2014-10-21,44,291.4,2003,882,1,0
"225",2014-10-21,44,291.4,2003,0,1,0
"226",2015-06-02,44,218.55,2003,51.95,2,0
"227",2015-06-02,44,222.93,2003,0,2,0
"228",2015-01-22,43,317.59,2002,0,2,0
"229",2016-11-07,33,265.95,1998,363.59,2,0
"230",2016-11-07,33,269.95,1998,87.15,2,0
"231",2016-11-07,33,295.6,1998,0,2,0
"232",2012-09-19,66,211.19,2000,0,2,0
"233",2012-09-19,66,204.73,2000,0,2,0
"234",2012-09-19,66,204.85,2000,0,2,0
"235",2018-07-14,61,209.91,1997,0,2,1
"236",2016-06-15,58,231.09,2015,0,2,0
"237",2016-06-15,58,234.54,2015,0,2,0
"238",2016-06-15,58,225.63,2015,0,2,0
"239",2014-04-11,52,302.84,2002,0,1,0
"240",2014-04-11,52,305.87,2002,0,1,0
"241",2014-04-11,52,307.4,2002,0,1,0
"242",2016-11-03,43,630.98,1996,65.06,1,0
"243",2013-03-04,32,567.57,2012,0,2,0
"244",2018-11-19,36,292.49,1999,0,2,0
"245",2017-09-21,37,269.03,2001,792.95,2,0
"246",2017-09-21,37,290.54,2001,0,2,0
"247",2009-10-01,35,388.05,2000,0,1,1
"248",2016-04-21,61,473.32,2006,75.8,2,1
"249",2016-04-21,61,551.6,2006,0,2,1
"250",2018-06-25,63,306.81,2006,4282.17,2,1
"251",2008-04-01,40,396.78,2003,49.27,2,0
"252",2008-04-01,40,406.71,2003,258.39,2,0
"253",2008-04-01,40,408.74,2003,882,2,0
"254",2016-03-30,50,191.75,2003,0,2,1
"255",2016-03-30,50,199.3,2003,0,2,1
"256",2016-03-30,50,205.28,2003,0,2,1
"257",2018-04-20,54,457.47,2001,0,2,1
"258",2017-12-18,48,296.03,2009,409.59,2,1
"259",2018-04-01,49,403.55,2002,0,2,0
"260",2017-05-31,46,583.22,2001,284.92,2,0
"261",2017-05-31,46,571.55,2001,51.95,2,0
"262",2018-06-15,47,172.5,2001,882,2,0
"263",2013-12-24,34,266.6,2003,0,2,1
"264",2017-06-29,38,502.79,2003,0,2,1
"265",2017-06-29,38,492.72,2003,0,2,1
"266",2016-07-21,59,170.19,2000,82.34,2,0
"267",2016-07-21,59,195.3,2000,0,2,0
"268",2016-07-21,59,213.85,2000,0,2,0
"269",2015-06-24,30,347.48,1998,84.62,2,1
"270",2015-06-24,30,359.63,1998,0,2,1
"271",2017-08-02,32,416.42,1998,0,2,1
"272",2017-08-02,32,264.99,1998,0,2,1
"273",2014-06-16,36,228.11,2002,0,2,0
"274",2014-06-16,36,233.8,2002,0,2,0
"275",2014-06-16,36,231.46,2002,0,2,0
"276",2017-02-08,39,207.1,2002,0,2,0
"277",2017-02-08,39,208.14,2002,0,2,0
"278",2015-01-21,42,336.82,2004,1764,2,1
"279",2017-12-01,59,289.43,1998,0,2,0
"280",2012-06-19,52,215.79,2004,51.95,2,0
"281",2012-06-19,52,218.87,2004,0,2,0
"282",2012-06-19,52,226.54,2004,0,2,0
"283",2008-11-25,69,215,2000,0,2,1
"284",2012-06-27,47,416.5,2004,0,2,1
"285",2012-06-27,47,424.83,2004,0,2,1
"286",2012-06-27,47,420.58,2004,0,2,1
"287",2018-02-23,52,730.16,2017,0,2,1
"288",2014-09-28,47,600.47,2002,56.99,2,0
"289",2014-09-28,47,600.47,2002,158.09,2,0
"290",2014-09-28,47,576.7,2002,0,2,0
"291",2016-11-01,44,319.79,2002,0,2,0
"292",2016-11-01,44,302.5,2002,0,2,0
"293",2016-11-01,44,304.02,2002,0,2,0
"294",2017-10-30,47,237.06,2002,1461.4,2,1
"295",2017-10-30,47,242.99,2002,0,2,1
"296",2018-08-29,45,328.16,2014,3132.68,2,1
"297",2000-01-17,56,279.09,2000,0,2,1
"298",2000-01-17,56,287.45,2000,0,2,1
"299",2000-01-17,56,283.13,2000,0,2,1
"300",2001-04-09,25,283.97,2001,0,2,1
"301",2010-04-23,55,288,2005,78.12,2,1
"302",2010-04-23,55,242.19,2005,4265.78,2,1
"303",2010-04-23,55,251.87,2005,0,2,1
"304",2014-10-31,60,361.54,2007,0,1,1
"305",2014-10-31,60,328.97,2007,0,1,1
"306",2014-10-31,60,332.26,2007,0,1,1
"307",2017-06-26,57,410.93,2001,213.77,2,0
"308",2017-06-26,57,313.04,2001,0,2,0
"309",2018-03-29,55,315.56,2006,161.1,1,0
"310",2015-03-12,51,320.65,2004,0,2,1
"311",2017-09-28,48,283.86,2007,0,2,1
"312",2017-09-28,48,290.95,2007,0,2,1
"313",2018-09-18,48,270.06,2007,665.14,2,0
"314",2017-09-12,48,356.68,2008,0,2,0
"315",2017-09-12,48,358.47,2008,0,2,0
"316",2016-07-26,34,534.05,2016,0,2,1
"317",2016-07-26,34,557.45,2016,0,2,1
"318",2016-07-26,34,551.88,2016,0,2,1
"319",2015-11-30,52,367.45,2003,0,1,1
"320",2015-11-30,52,306.56,2003,0,1,1
"321",2015-11-30,52,306.56,2003,0,1,1
"322",2017-03-03,31,385.52,2016,0,2,0
"323",2017-03-03,31,393.23,2016,0,2,0
"324",2018-08-10,46,278.92,2003,882,2,0
"325",2018-03-14,43,281.07,2004,0,2,0
"326",2007-03-29,46,240.74,2003,0,2,1
"327",2007-03-29,46,240.34,2003,0,2,1
"328",2007-03-29,46,241.57,2003,0,2,1
"329",2014-06-24,34,311.41,1999,0,2,0
"330",2016-03-22,46,293.66,2001,589.52,2,0
"331",2011-06-17,53,254.8,2005,0,2,1
"332",2014-11-27,73,204.54,2009,0,2,1
"333",2015-12-01,76,259.84,2001,0,2,0
"334",2015-12-01,76,267.64,2001,0,2,0
"335",2015-12-01,76,267.64,2001,0,2,0
"336",2018-02-06,30,500.99,2001,0,1,1
"337",2007-08-17,51,245.62,1998,0,1,0
"338",2007-08-17,51,245.62,1998,0,1,0
"339",2007-08-17,51,249.31,1998,0,1,0
"340",2016-06-01,59,220.18,1998,0,2,1
"341",2016-06-01,59,226.78,1998,0,2,1
"342",2015-02-25,55,445.07,2015,0,2,1
"343",2015-02-25,55,440.41,2015,0,2,1
"344",2015-02-25,55,442.62,2015,0,2,1
"345",2018-06-15,50,410.93,2012,0,2,1
"346",2018-05-25,54,470.52,2018,0,2,0
"347",2014-01-24,45,287.42,2005,934.8,2,0
"348",2016-12-10,48,522.15,2005,149.13,2,0
"349",2016-12-10,48,522.15,2005,0,2,0
"350",2017-12-28,49,433.46,2005,0,2,0
"351",2017-12-29,48,219.53,2001,59.71,2,0
"352",2017-09-20,56,336.26,2001,0,1,1
"353",2017-09-20,56,339.62,2001,182.65,1,1
"354",2014-08-13,61,297.93,2007,49.95,2,0
"355",2014-08-13,61,303.89,2007,0,2,0
"356",2014-08-13,61,303.89,2007,0,2,0
"357",2016-03-23,43,217.18,2005,0,2,0
"358",2016-03-23,43,259.02,2005,0,2,0
"359",2015-06-13,34,337.89,2006,0,2,1
"360",2009-03-23,38,280.79,2009,0,2,0
"361",2014-04-07,62,239.97,1995,882,2,0
"362",2014-04-07,62,262.77,1995,127.53,2,0
"363",2014-04-07,62,244.16,1995,0,2,0
"364",2016-03-27,47,361.76,2013,932.76,1,0
"365",2016-03-27,47,374.42,2013,0,1,0
"366",2016-03-27,47,378.16,2013,0,1,0
"367",2016-11-11,48,358.35,2013,0,1,0
"368",2016-11-11,48,360.13,2013,0,1,0
"369",2016-11-11,48,354.98,2013,0,1,0
"370",2015-10-17,56,525.83,2012,0,2,1
"371",2015-10-17,56,525.81,2012,0,2,1
"372",2015-10-17,56,567.97,2012,0,2,1
"373",2018-02-08,55,204.32,2003,0,2,0
"374",2016-01-25,52,438.89,2004,882,2,0
"375",2016-01-25,52,471.82,2004,0,2,0
"376",2017-03-22,53,282.85,2003,433.09,1,0
"377",2017-03-22,53,315.35,2003,0,1,0
"378",2011-07-04,43,365.41,2007,0,2,0
"379",2018-11-08,66,179.26,2005,0,1,0
"380",2018-04-25,21,376.19,2002,0,2,1
"381",2015-02-04,46,389,2007,0,2,0
"382",2015-05-04,46,357.68,2007,0,2,0
"383",2017-10-10,35,272.13,1999,230.37,2,0
"384",2017-10-10,35,272.13,1999,67.11,2,0
"385",2012-03-02,25,519.16,2012,1285.62,2,1
"386",2015-08-20,34,337.42,2015,1870.33,2,0
"387",2015-08-20,34,398.16,2015,0,2,0
"388",2016-11-02,71,464.42,2000,55.17,2,0
"389",2016-11-02,71,487.66,2000,55.17,2,0
"390",2016-11-02,71,512.05,2000,0,2,0
"391",2017-09-14,71,358.84,2000,125.27,2,0
"392",2018-03-01,72,235.17,2000,0,2,0
"393",2013-10-19,66,289.64,2002,0,2,0
"394",2013-10-19,66,289.64,2002,0,2,0
"395",2013-10-19,66,291.1,2002,0,2,0
"396",2004-08-11,54,216.76,2004,0,2,0
"397",2004-08-11,54,216.76,2004,0,2,0
"398",2004-08-11,54,226.51,2004,0,2,0
"399",2006-02-10,56,244.98,2004,0,2,0
"400",2006-02-10,56,231.82,2004,0,2,0
"401",2006-02-10,56,229.49,2004,0,2,0
"402",2015-06-01,63,294.37,2000,52.09,2,1
"403",2015-06-01,63,295.85,2000,0,2,1
"404",2015-06-01,63,297.34,2000,0,2,1
"405",2008-08-13,55,342.71,2000,0,1,1
"406",2004-11-05,44,266.2,1999,0,2,0
"407",2004-11-05,44,274.18,1999,0,2,0
"408",2004-11-05,44,270.06,1999,0,2,0
"409",2017-11-24,57,222.68,1999,0,2,0
"410",2017-11-24,57,223.81,1999,0,2,0
"411",2013-09-25,53,286.35,2009,0,2,1
"412",2018-06-21,53,337.95,2008,231.55,2,0
"413",2018-07-10,33,183.02,2018,0,2,0
"414",2017-07-05,37,274.67,1997,49.95,2,0
"415",2017-07-05,37,274.67,1997,903.78,2,0
"416",2017-09-07,37,252.27,1997,113.25,2,0
"417",2012-08-22,41,284.15,1998,0,2,0
"418",2012-08-22,41,311.15,1998,0,2,0
"419",2012-08-22,41,325.14,1998,0,2,0
"420",2018-06-01,57,313.38,2004,0,1,1
"421",2018-08-10,55,214.84,1987,0,1,0
"422",2014-11-25,42,303.54,2001,162.21,1,0
"423",2014-11-25,42,292.73,2001,0,1,0
"424",2002-10-19,58,283.98,2002,0,1,0
"425",2002-10-19,58,283.98,2002,0,1,0
"426",2014-12-03,71,247.32,2004,0,2,0
"427",2011-03-11,70,73.91,2000,0,3,0
"428",2011-03-11,70,71.03,2000,0,3,0
"429",2011-03-11,70,69.31,2000,0,3,0
"430",2014-09-12,42,275.98,2007,0,2,0
"431",2014-09-12,42,275.98,2007,0,2,0
"432",2018-04-12,33,298.64,2010,0,2,1
"433",2012-11-26,63,296.76,2006,0,2,0
"434",2012-11-26,63,305.67,2006,0,2,0
"435",2012-11-26,63,305.67,2006,0,2,0
"436",2012-11-26,63,302.61,2006,0,2,0
"437",2015-05-08,24,452.23,2007,0,2,1
"438",2015-05-08,24,456.75,2007,0,2,1
"439",2015-05-08,24,449.9,2007,0,2,1
"440",2017-10-02,65,311.25,2005,0,2,1
"441",2017-10-02,65,312.8,2005,0,2,1
"442",2004-04-21,51,195.37,1989,0,1,0
"443",2004-04-21,51,190.91,1989,0,1,0
"444",2004-04-21,51,150.23,1989,0,1,0
"445",2012-09-24,57,263.68,1999,882,2,0
"446",2012-09-24,57,337.5,1999,0,2,0
"447",2017-11-28,62,438.56,2003,1349.99,2,1
"448",2017-11-28,62,482.43,2003,0,2,1
"449",2016-11-22,60,320.03,1997,332.14,1,0
"450",2016-11-22,60,321.63,1997,105.78,1,0
"451",2016-11-22,60,324.85,1997,0,1,0
"452",2018-08-10,61,324.27,2018,0,2,0
"453",2015-07-14,58,268.42,1999,114.38,2,0
"454",2015-07-14,58,254.09,1999,182.16,2,0
"455",2017-01-13,59,274.45,1999,89.66,1,0
"456",2017-12-07,60,231.91,1999,201.23,1,0
"457",2012-06-29,54,336.21,2002,90.48,1,0
"458",2012-06-29,54,339.56,2002,0,1,0
"459",2012-06-29,54,341.26,2002,0,1,0
"460",2015-02-10,56,357.43,2014,0,2,0
"461",2013-10-25,53,431.57,2000,0,1,1
"462",2013-10-25,53,403.06,2000,0,1,1
"463",2013-10-25,53,373.5,2000,0,1,1
"464",2016-12-05,56,595.19,2010,0,2,1
"465",2016-12-05,56,607.1,2010,0,2,1
"466",2018-01-04,54,276.29,2002,155.15,2,0
"467",2012-01-12,48,292.17,2005,0,1,1
"468",2012-01-12,48,296.56,2005,0,1,1
"469",2010-10-07,46,307.06,2002,0,2,1
"470",2013-11-08,48,271.7,1997,363.04,2,0
"471",2013-11-08,48,272.79,1997,0,2,0
"472",2013-11-08,48,266.26,1997,0,2,0
"473",2013-11-08,48,282.97,1997,0,2,0
"474",2018-02-09,21,390.19,1999,0,2,0
"475",2018-11-24,22,223.15,1999,0,2,0
"476",2016-02-02,47,330.07,2006,100.37,2,1
"477",2016-02-02,47,336.67,2006,882,2,1
"478",2016-02-02,47,449.45,2006,0,2,1
"479",2013-11-12,45,349.89,1999,0,2,1
"480",2015-09-27,45,250.37,2001,0,2,0
"481",2015-09-27,45,250.37,2001,0,2,0
"482",2015-09-27,45,259.14,2001,0,2,0
"483",2018-05-25,49,346.51,2008,0,2,0
"484",2015-09-11,47,289.56,2010,0,2,0
"485",2018-08-21,48,242.37,2003,0,2,0
"486",2018-03-02,49,230.26,2000,0,2,0
"487",2017-03-18,47,297.79,2003,0,2,1
"488",2017-03-18,47,305.24,2003,0,2,1
"489",2015-10-02,44,283.51,2015,0,2,1
"490",2015-10-02,44,299.53,2015,0,2,1
"491",2015-09-17,43,320.6,2003,586.89,2,0
"492",2015-09-17,43,351.07,2003,0,2,0
"493",2011-05-04,37,310.06,2010,0,2,0
"494",2014-04-10,38,345.85,2006,0,2,0
"495",2014-04-10,38,352.76,2006,0,2,0
"496",2018-08-08,41,312.8,2018,0,1,0
"497",2018-08-01,40,299.48,2010,0,2,1
"498",2017-06-02,40,232.01,2009,0,2,1
"499",2017-06-02,40,237.83,2009,0,2,1
"500",2017-10-06,40,312.43,2014,0,2,0
"501",2017-10-06,40,318.68,2014,0,2,0
"502",2017-01-18,41,333.72,2016,927.74,1,0
"503",2017-01-18,41,335.4,2016,0,1,0
"504",2016-02-26,31,404.9,2003,996.11,2,0
"505",2016-02-26,31,463.61,2003,0,2,0
"506",2015-12-22,29,255.16,1996,3003.86,1,0
"507",2017-12-28,32,334.03,2017,0,2,0
"508",2013-12-03,37,303.14,2006,0,2,0
"509",2013-12-03,37,288.24,2006,0,2,0
"510",2013-12-03,37,260.82,2006,0,2,0
"511",2017-05-08,35,132.67,2003,143.57,2,0
"512",2017-05-08,35,262.59,2003,0,2,0
"513",2014-03-14,74,451.41,2007,0,1,1
"514",2014-03-14,74,453.66,2007,0,1,1
"515",2010-07-08,29,291.53,2005,0,2,0
"516",2010-07-08,29,297.37,2005,0,2,0
"517",2010-07-08,29,294.4,2005,0,2,0
"518",2016-05-19,57,529.54,2006,0,2,1
"519",2003-10-21,47,242.7,1991,0,1,0
"520",2003-10-21,47,243.93,1991,0,1,0
"521",2003-10-21,47,235.59,1991,0,1,0
"522",2007-10-15,27,74.69,2003,0,3,0
"523",2007-10-15,27,75.07,2003,0,3,0
"524",2015-11-30,33,261.84,2010,882,2,0
"525",2015-11-30,33,272.59,2010,0,2,0
"526",2015-11-30,33,295.75,2010,0,2,0
"527",2016-08-18,73,358.84,2000,882,2,0
"528",2016-08-18,73,360.63,2000,933.95,2,0
"529",2006-02-20,45,75.25,2001,0,3,0
"530",2006-02-20,45,76.76,2001,0,3,0
"531",2006-02-20,45,77.53,2001,0,3,0
"532",2017-05-05,54,319.16,2003,49.95,2,1
"533",2017-05-05,54,356.66,2003,0,2,1
"534",2018-09-07,45,331.62,2001,0,2,1
"535",2000-08-29,46,254.9,2000,0,2,0
"536",2007-01-25,52,333.46,2000,0,2,0
"537",2007-02-16,36,181.34,2007,0,2,0
"538",2007-02-16,36,187.69,2007,0,2,0
"539",2018-08-03,45,369.47,2003,0,1,0
"540",2006-04-28,26,282.75,2005,0,2,1
"541",1998-04-03,56,260.27,1998,0,2,0
"542",1998-04-03,56,264.19,1998,0,2,0
"543",1998-04-03,56,265.51,1998,0,2,0
"544",2015-04-16,72,481.35,1999,0,2,0
"545",2016-09-30,76,234.11,1999,991.15,2,1
"546",2016-09-30,76,237.63,1999,0,2,1
